iter	Logloss
0	0.6543477948
1	0.6238553336
2	0.5973190993
3	0.5719381611
4	0.5504431564
5	0.5326415073
6	0.5167154034
7	0.5023213933
8	0.4910945249
9	0.4820915822
10	0.4724568571
11	0.4651736142
12	0.4583627937
13	0.453652114
14	0.4487453418
15	0.4436269181
16	0.4372986354
17	0.4343185425
18	0.4314273448
19	0.4275751864
20	0.4244839958
21	0.4211696239
22	0.4183582777
23	0.4161961159
24	0.4154658371
25	0.4150895537
26	0.4119129824
27	0.4097589214
28	0.4075280522
29	0.4052725803
30	0.4040567634
31	0.4016622479
32	0.4008321869
33	0.3999909819
34	0.3984630028
35	0.3972083102
36	0.3953423661
37	0.3942114584
38	0.3928504687
39	0.3921330055
40	0.3909857246
41	0.3897112729
42	0.3885154296
43	0.3880674812
44	0.3876921407
45	0.3860137597
46	0.3857388014
47	0.3850404547
48	0.3842679999
49	0.3832955521
